"name","num_library","create_date","area","is_fenxiao","type_name","school_nature_name","address","content"
"湖南大学","620万","1926","3615","2","综合类","公办","湖南省长沙市岳麓区麓山南路麓山门","湖南大学坐落于中国历史文化名城长沙，前临碧波荡漾的湘江，后倚秀如琢玉的岳麓山，素有“千年学府、百年名校”之称。学校办学起源于公元976年创办的岳麓书院，是中国同址办学时间最长的高等学府,历经千年变迁，弦歌不绝，始终保持文化教育的连续性，是中国高等教育发展的生动缩影和世界高等教育的罕见奇迹。1903年改制为湖南高等学堂，1926年正式定名湖南大学，19"
"中央音乐学院","53万","1949","0","2","艺术类","公办","北京市西城区鲍家街43号","中央音乐学院1949年由中央人民政府政务院命名成立，是由1938年成立的延安鲁迅艺术学院音乐系、1940年建立的重庆国立音乐院、1948年成立的华北大学三部音乐系、1918年成立的国立北平艺术专科学校音乐系等几所音乐教育机构合并组建而成,是一所培养高级专门音乐人才的高等学府。1960年被中共中央定为全国重点高等学校，2000年被列入国家“211工程”建设院校，是全国艺术院校"
"武汉大学","1002万","1893","5195","2","综合类","公办","湖北省武汉市武昌区八一路299号","江城多山，珞珈独秀；山上有黉，武汉大学。武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校，是首批“双一流”建设高校。武汉大学溯源于1893年清末湖广总督张之洞奏请清政府创办的自强学堂，历经传承演变，1928年定名为国立武汉大学，是近代中国第一批国立大学。1946年，学校已形成文、法、理、工、农、医6大学院并驾齐驱的办"
"北京交通大学","185万","1896","2000","2","理工类","公办","北京市海淀区西直门外上园村3号","北京交通大学是教育部直属，教育部、交通运输部、北京市人民政府和中国国家铁路集团有限公司共建的全国重点大学，是国家“211工程”“985工程优势学科创新平台”“双一流”建设高校。北京交通大学作为交通大学的三个源头之一，历史渊源可追溯到1896年，前身是清政府创办的铁路管理传习所，是中国第一所专门培养管理人才的高等学校，是中国近代铁路管理、电信教育"
"辽宁大学","275万","1948","2222","2","综合类","公办","沈阳崇山校区：辽宁省沈阳市皇姑区崇山中路66号,沈阳蒲河校区：辽宁省沈阳市沈北新区道义南大街58号","辽宁大学是一所具备文、史、哲、经、管、法、理、工、医、艺等学科门类的综合性大学，是国家“211工程”重点建设院校和国家“双一流”建设高校。学校现有三个校区，即沈阳崇山校区、沈阳蒲河校区和辽阳武圣校区。学校占地面积2222亩，校舍建筑面积65万平方米。辽宁大学源起于1948年11月东北人民政府在沈阳建立的商业专门学校，是中国共产党创建的第一所专门商科高"
"北京航空航天大学","253万","1952","3000","2","理工类","公办","学院路校区：北京市海淀区学院路37号,沙河校区：北京市昌平区沙河高教园区","1951年，为培养航空建设人才，国家决定将北洋大学、厦门大学、西北工学院航空系并入清华大学航空工程学系，成立清华大学航空学院，将云南大学航空系并入四川大学航空系，将西南工专航空科并入华北大学工学院航空系。1952年，根据全国高等学校院系调整的要求，设立北京航空学院，由北京工业学院航空系（1951年11月18日，华北大学工学院更名为北京工业学院）、清华大"
"河北工业大学","102万","1903","4000","2","理工类","公办","天津市北辰区西平道5340号","河北工业大学前身为创办于1903年的北洋工艺学堂，之后相继更名为直隶高等工业学堂、直隶高等工业学校、直隶公立工业专门学校、河北省立工业专门学校、河北省立工业学院、河北省立工学院、河北工学院，1951年与北洋大学合并为天津大学，1958年恢复重建，1962年与天津工学院合并为新的天津工学院，1971年复名河北工学院，1995年定名为河北工业大学。学校1996年跻身首批国"
"北京外国语大学","131万","1941","0","2","语言类","公办","北京市海淀区西三环北路2号","北京外国语大学（简称“北外”）坐落在北京市海淀区西三环北路，在三环路两侧分设东、西两个校区，是教育部直属、首批“211工程”高校、“985”优势学科创新平台高校、首批“双一流”建设高校。北外是中国共产党创办的第一所外国语高等学校，前身是1941年成立于延安的中国抗日军政大学三分校俄文队，后发展为中央军委外国语学校，建校始隶属于党中央领导。新中国"
"中国人民大学","439万","1937","7500","2","综合类","公办","北京市海淀区中关村大街59号","中国人民大学（RenminUniversityofChina）是中国共产党创办的第一所新型正规大学，直属于教育部，由教育部与北京市共建。现任党委书记为张东刚、校长为林尚立。一、历史沿革和领导关怀中国人民大学前身是1937年诞生于抗日战争烽火中的陕北公学，以及后来的华北联合大学和北方大学、华北大学。学校始终与党和国家同呼吸、共命运，始终得到党中央的亲切关怀和高度重视。"
"北京邮电大学","171万","1955","0","2","理工类","公办","北京市西土城路10号","六十余载风雨砥砺，六十余载春华秋实。明光之北、蓟门之南，古老的城墙，见证了永不消逝的电波；鸿雁翱翔、银杏巍巍，坚实的土地，承载了信息黄埔的传奇。北京邮电大学是教育部直属、工业和信息化部共建、首批进行“211工程”建设的全国重点大学，是“985优势学科创新平台”项目重点建设高校，是一所以信息科技为特色、工学门类为主体、工管文理协调发展的多科"
"对外经济贸易大学","60万","1951","513","2","财经类","公办","北京市朝阳区惠新东街10号","对外经济贸易大学（UniversityofInternationalBusinessandEconomics）是教育部直属高校，教育部与商务部共建高校，首批国家“双一流”建设和首批“211工程”建设高校。对外经济贸易大学办学历史悠久，是新中国第一所培养对外贸易专门人才的高等学府，创建于1951年，前身为隶属于中央人民政府贸易部的高级商业干部学校。1953年更名为北京对外贸易专科学校。1954年，北京对外贸易专"
"北京师范大学","290万","1902","0","2","师范类","公办","北京市新街口外大街19号","北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范学堂，独立设校，1912年改名为北京高等师范学校。1923年学校更名为北京师范大学，成为中国历史上第一所师范大学。1931年、1952年北平女子师范大学、辅仁大学先后并入北京师范大学。百余年来，北"
"北京中医药大学","88万","1956","1625","2","医药类","公办","北京市朝阳区北三环东路11号","北京中医药大学是一所以中医药学为主干学科的全国重点大学，直属教育部管理，由教育部、国家卫生健康委员会、国家中医药管理局和北京市共建。学校现任党委书记王瑶琪，校长徐安龙。北京中医药大学始建于1956年，前身为北京中医学院，是国务院批准最早创办的高等中医药院校。1960年，被中央确定为全国重点高校；1993年，更名为北京中医药大学；1996年，入选国家“211"
"西南交通大学","700万","1896","5000","2","理工类","公办","犀浦校区：四川省成都市郫都区犀安路999号,九里校区：四川省成都市二环路北一段111号,峨眉校区：四川省峨眉山市景区路二段6号","西南交通大学是教育部直属全国重点大学，国家首批“双一流”“211工程”“特色985工程”“2011协同创新计划”重点建设并设有研究生院的研究型大学，坐落于中国历史文化名城、国家中心城市、“成渝地区双城经济圈”核心城市——成都。学校1896年创建于山海关，时称“北洋铁路官学堂”（ImperialChineseRailwayCollege)，是中国第一所工程教育高等学府，是中国土木工程、矿冶工"
"河北大学","310万","1921","2430","2","综合类","公办","校本部：河北省保定市五四东路180号,新校区：河北省保定市七一东路2666号","河北大学是教育部与河北省人民政府“部省合建”高校，河北省重点支持的国家一流大学建设一层次高校。学校始建于1921年，初名天津工商大学，校址位于天津市马场道141号。建校伊始，学校即以本科建制，大学立名，秉持“育中华有为之青年、办德智并育之大学、促中国之现在化”的办学宗旨，致力于培养工商人才。1933年，学校更名为天津工商学院，“实事求是”校训传统"
"中国海洋大学","300万","1924","5200","2","综合类","公办","山东省青岛市崂山区松岭路238号","中国海洋大学是一所海洋和水产学科特色显著、学科门类齐全的教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设的高校，2017年入选国家“世界一流大学建设高校”（A类）。学校校训是“海纳百川，取则行远”。学校创建于1924年，历经私立青岛大学、国立青岛大学、国立山东大学、山东大学等办学时期，于1959年发展成为山东海洋学院，1960年被国家确定为"
"西安电子科技大学","736万","1931","3945","2","理工类","公办","北校区：陕西省西安市太白南路2号,南校区：陕西省西安市西沣路兴隆段266号","西安电子科技大学是以电子与信息学科为特色，工、理、管、文、经等多学科协调发展的全国重点大学，直属教育部。目前有南、北两个校区，总占地面积3945.33亩，校舍建筑面积142.33万平方米。学校前身是1931年诞生于江西瑞金的中央革命军事委员会无线电学校，是毛泽东等老一辈革命家亲手创建的我党我军第一所工程技术学校，延续着中国高校最长的红色根脉。建校后先后于"
"郑州大学","714万","1956","6100","2","综合类","公办","河南省郑州市科学大道100号","郑州大学（简称郑大，英文简称：ZZU）由河南省人民政府兴办，法定住所地为河南省郑州市科学大道100号。学校总占地面积6100余亩，主校区位于郑州市科学大道100号，主校区南校园位于郑州市大学北路75号，主校区北校园位于郑州市文化路97号，主校区东校园位于郑州市大学北路40号，主校区西校园位于郑州市科学大道157号；现代制造河南实验室（洛阳）位于洛阳市周山大道6号"
"天津大学","263万","1895","6161","2","综合类","公办","卫津路校区：天津市南开区卫津路92号,北洋园校区：天津市津南区雅观路135号","天津大学（TianjinUniversity），简称天大，其前身为北洋大学，始建于1895年10月2日，是中国第一所现代大学，开中国近代高等教育之先河。“甲午战争”失败后，学校在“自强之道以作育人才为本，求才之道以设立学堂为先”的办学宗旨下，由清光绪皇帝御笔朱批，创建于天津，由盛宣怀任首任督办。学校初名北洋大学堂，内设头等学堂（大学本科）和二等学堂（大学预科），"
"河北经贸大学","0","1995","3000","2","财经类","公办","河北省石家庄市学府路47号","河北经贸大学是河北省重点建设的骨干大学，是一所以经济学、管理学、法学为主，兼有文学、理学、工学和艺术学的多学科财经类大学。学校由河北财经学院、河北经贸学院、河北商业高等专科学校等合并组建而成，至今已有69年的办学历史。学校分北、南、西三个校区办学。其中南、西校区为独立学院——经济管理学院，座落于石家庄市西南高教区，占地200余亩。北校区是"
"河北科技大学","191万","1956","2760","2","理工类","公办","河北省石家庄市裕翔街26号","河北科技大学坐落于河北省石家庄市，占地2575亩，由原河北轻化工学院、河北机电学院、河北省纺织职工大学、河北纺织工业学校合并组建而成。1956年举办高等教育，在多年的办学历程中，学校始终坚持“致力于人的全面发展，服务于区域经济建设和社会进步”的办学宗旨，秉承“兴业、尽责”的校训和“进取、协作、奉献”的科大精神，为国家培养了30余万优秀毕业生。学"
"南开大学","361万","1919","6647","2","综合类","公办","八里台校区：天津市南开区卫津路94号,津南校区：天津市海河教育园区同砚路38号,泰达校区：天津市经济开发区宏达街23号","南开大学是教育部直属重点综合性大学，是敬爱的周恩来总理的母校。学校肇始于1904年，成立于1919年，由近代爱国教育家严修、张伯苓秉承教育救国理念创办。1937年校园遭侵华日军炸毁，学校南迁，与北京大学、清华大学组建国立长沙临时大学，1938年迁至昆明改名为国立西南联合大学。1946年回津复校并改为国立。新中国成立以来，学校发展始终得到党和国家的亲切关怀。毛"
"湖南师范大学","300万","1938","3000","2","师范类","公办","湖南省长沙市麓山路36号","湖南师范大学创建于1938年，位于历史文化名城长沙，是国家“211工程”重点建设的大学，国家“双一流”建设高校，教育部与湖南省重点共建“双一流”建设高校，教育部普通高等学校本科教学工作水平评估优秀高校，湖南省“世界一流学科建设高校”。学校占地近3000亩，建筑面积131万平方米。主校区西偎麓山，东濒湘江，风光秀丽，是全国绿化“400佳”单位之一。学校设有"
"滨州医学院","240万","1946","1718","2","医药类","公办","烟台校区：山东省烟台市莱山区观海路346号（264003）,滨州校区：山东省滨州市黄河三路522号（256603）","滨州医学院是山东省应用型本科高校、山东省省市共建高校、山东省博士学位授予立项建设单位。前身是始建于1946年的原国立山东大学医学院，1956年3月独立建制为青岛医学院，1970年10月整体搬迁至山东省惠民地区行署驻地北镇办学，1974年11月设立青岛医学院北镇分院，1981年9月改称北镇医学院，1983年3月随驻地更名为滨州医学院，2002年烟台校区投入使用。目前，学校已发展成"
"合肥工业大学","267万","1945","5000","2","理工类","公办","安徽省合肥市屯溪路193号","合肥工业大学是中华人民共和国教育部直属全国重点大学，教育部、工信部和安徽省政府共建高校，国防科工局与教育部共建高校。学校创建于1945年，1960年被中共中央批准为全国重点大学。刘少奇、朱德、董必武、陈毅、邓小平等老一辈无产阶级革命家先后来校视察指导工作，邓小平同志1979年亲笔为学校题写了校名。学校2005年成为国家“211工程”重点建设高校，2009年成为国"
"安徽大学","330万","1928","3239","2","综合类","公办","磬苑校区：安徽省合肥市经济技术开发区九龙路111号,龙河校区：安徽省合肥市蜀山区肥西路3号","安徽大学(AnhuiUniversity)坐落于素有“三国故地、包拯家乡，江淮首郡、吴楚要冲”美誉的历史文化名城、安徽省省会合肥市。学校是世界“双一流”和国家“211工程”建设首批入列高校，是安徽省人民政府与教育部共建高校，是安徽省属重点综合型大学。1928年，安徽大学肇基于时为省会的安庆市，开启安徽现代高等教育之先河，赓续襟江带淮崇教文化之菁华。几经易址，于1956"
"中国科学技术大学","67万","1958","0","2","综合类","公办","安徽省合肥市金寨路96号","中国科学技术大学是中国科学院所属的一所以前沿科学和高新技术为主、兼有医学和特色文科的综合性全国重点大学。学校现有31个学院（学部），含8个科教融合学院；设有苏州高等研究院、上海研究院、北京研究院、先进技术研究院、国际金融研究院、附属第一医院（安徽省立医院）。学校于1958年9月在北京创建，郭沫若任首任校长。这是我党亲手创办的红色大学，是为“两"
"德州学院","0","1971","1992","2","综合类","公办","山东省德州市大学西路566号","德州学院是山东省政府直属全日制综合性普通本科院校，是山东省硕士学位授予立项建设单位、山东省应用型本科高校建设首批支持单位。学校坐落于中国太阳城—山东省德州市，德州地理位置优越，素有“九达天衢”“神京门户”之称，是国家交通运输主枢纽城市，被纳入京津冀协同发展规划，是首都一小时生活圈和省会半小时生活圈城市。学校始建于1971年，前身是德州师"
"安徽理工大学","157万","1945","3540","2","理工类","公办","安徽省淮南市泰丰大街168号","安徽理工大学是安徽省重点建设的特色高水平大学，是安徽省和中华人民共和国应急管理部共建高校，是国家中西部高校基础能力建设工程支持建设的高校，是教育部“卓越工程师教育培养计划”实施高校。学校淮南校区占地约3200亩，合肥校区占地340亩。学校创建于1945年，与合肥工业大学同根同源，是安徽省第一所工科高校。1955年学校由淮南煤矿工业专科学校升格为合肥矿"
"安徽工业大学","267万","1958","2549","2","理工类","公办","佳山校区：安徽省马鞍山市花山区湖东路59号,秀山校区：安徽省马鞍山市马向路1530号","安徽工业大学坐落于长三角与南京毗邻的全国文明城市——安徽省马鞍山市，前身是创建于1958年的马鞍山钢铁工业学校，1977年经国务院批准组建马鞍山钢铁学院；1985年更名为华东冶金学院，隶属于原冶金工业部；1998年划转安徽省，实行“中央与地方共建，以安徽省管理为主”的管理体制；2000年经教育部和安徽省人民政府批准，华东冶金学院和安徽商业高等专科学校合并，组"
"安徽农业大学","305万","1928","3150","2","农林类","公办","安徽省合肥市长江西路130号","安徽农业大学坐落于安徽省会合肥，是一所办学历史悠久、以农林生命学科为优势和特色的省政府与农业农村部、国家林业和草原局合作共建高校，是全国首批建设“新农村发展研究院”的十所高校之一，是“中西部高校基础能力建设工程”项目高校，是安徽省“地方特色高水平”大学建设高校。学校源于1928年成立的省立安徽大学，1935年成立农学院，1953年独立办学，1995年更"
"同济大学","360万","1907","3840","2","综合类","公办","上海市四平路1239号","同济的100年，是与中华民族命运休戚与共的100年；同济的100年，是与祖国科教事业心手相牵的100年；同济的100年，是与上海城市发展相濡以沫的100年。——摘自习近平同志在同济大学建校100周年庆祝大会上的讲话同心同德同舟楫，济人济事济天下！同济大学历史悠久、声誉卓著，是中国最早的国立大学之一，是教育部直属并与上海市共建的全国重点大学。经过115年的发展，同"
"安徽医科大学","125万","1926","2086","2","医药类","公办","梅山路校区：安徽省合肥市梅山路81号,翡翠路校区：安徽省合肥市经济开发区翡翠路15号","安徽医科大学是安徽省办学历史最早的高等学校之一，是安徽省第一所高等医科院校，是安徽省属重点大学，是教育部、国家卫健委和安徽省共建高校，是安徽省第一批地方特色高水平大学和第一批综合改革试点学校。学校前身是1926年始创于上海的东南医科大学，1949年响应中共中央华东局“面向农村，走向内地”的号召，内迁安徽怀远。1952年定址合肥，改名安徽医学院。1985"
"济南大学","800万","1948","3645","2","综合类","公办","主校区：山东省济南市市中区南辛庄西路336号,舜耕校区：山东省济南市市中区舜耕路13号","济南大学是山东省人民政府和教育部共建的综合性大学、山东省重点建设大学、山东省高水平大学“冲一流”建设高校，具有学士、硕士、博士学位授予权。学校始建于1948年，建校70多年来，学校铭记“弘毅、博学、求真、至善”的校训，传承“勤奋、严谨、团结、创新”的校风，发扬“艰苦奋斗、凝心聚力、追求卓越”的精神，为国家建设和经济社会发展培养了大批优秀人"
"上海交通大学医学院","48万","1896","0","2","医药类","公办","上海市重庆南路227号","上海交通大学医学院位于创新求索、文化荟萃、包容并蓄的黄浦腹地，红墙映日、梧桐环绕。其前身是由圣约翰大学医学院(1896-1952)、震旦大学医学院(1911-1952)、同德医学院（1918-1952)于1952年全国高等学校院系调整时合并而成的上海第二医学院，1985年更名为上海第二医科大学。1997年学校通过了“211工程”立项。2005年7月，上海交通大学与上海第二医科大学合并，成立了新的由教"
"新疆大学","255万","1924","4790","2","综合类","公办","校本部：新疆维吾尔自治区乌鲁木齐市胜利路666号,北校区：新疆维吾尔自治区乌鲁木齐市西北路134号","【历史沿革】1924年新疆大学的前身——新疆俄文法政专门学校创立，拉开了新疆高等教育的序幕。1935年学校改建为新疆学院。抗日战争期间，共产党人俞秀松、林基路和爱国民主人士杜重远等先后到新疆学院主持工作，茅盾、张仲实、萨空了、赵丹等一批共产党人和进步人士来校任教或讲学，提出了“以民族为形式，以马列为内容”的教育思想，掀起了轰轰烈烈的抗日救国宣"
"南京航空航天大学","254万","1952","3046","2","理工类","公办","明故宫校区：江苏省南京市秦淮区御道街29号,将军路校区：江苏省南京市江宁区将军大道29号,天目湖校区：江苏省溧阳市滨河东路29号","南京航空航天大学创建于1952年10月，是新中国自己创办的第一批航空高等院校之一。1978年被国务院确定为全国重点大学；1981年经国务院批准成为全国首批具有博士学位授予权的高校；1996年进入国家“211工程”建设；2000年经教育部批准设立研究生院；2011年，成为“985工程优势学科创新平台”重点建设高校；2017年，进入国家“双一流”建设序列，现有航空宇航科学与技术、力"
"上海大学","360万","1922","2700","2","综合类","公办","宝山校区：上海市宝山区上大路99号,延长校区：上海市静安区延长路149号","上海大学是上海市属的综合性研究型大学，是教育部与上海市人民政府共建高校，是国家“211工程”重点建设高校、上海市高水平地方大学建设高校，是国家“双一流”建设高校。建校时期，青云发轫。1922年10月23日成立的上海大学，是中国共产党主导创办并实际领导的第一所正规大学。孙中山、李大钊、陈独秀、毛泽东等悉心关怀，于右任、邓中夏、瞿秋白、蔡和森、任弼时"
"天津师范大学","200万","1958","3500","2","师范类","公办","天津市西青区宾水西道393号","天津师范大学是天津百年师范教育的传承者，天津基础教育文脉发祥地，天津唯一面向基础教育培养优质师资的师范大学。学校始建于1958年，原名天津师范学院，1982年更名为天津师范大学。1999年，原天津师范大学、天津师范高等专科学校、天津教育学院合并组建新天津师范大学。学校于2020年荣膺全国文明校园。2021年入列国家教育强国推进工程优质师范大学建设行列。学校办"
"天津医科大学","60万","1951","0","2","医药类","公办","校本部：天津市和平区气象台路22号,广东路校区：天津市河西区广东路1号","天津医科大学的前身天津医学院创建于1951年，是新中国成立后原国家政务院批准建立的高等医学院校。著名内分泌学家、医学教育家朱宪彝教授为首任校长。1994年6月天津医学院与天津第二医学院正式组建成立天津医科大学。1996年12月成为天津市唯一的国家“211工程”重点建设市属院校，2015年10月成为天津市人民政府、国家卫生健康委员会和教育部共建高校，2017年9月入选国家"
"天津工业大学","213万","1912","2925","2","综合类","公办","天津市西青区宾水西道399号","天津工业大学是教育部与天津市共建、天津市重点建设的全日制普通高等学校。学校办学历史悠久，始建于1912年，2000年更名为天津工业大学，2017年、2022年连续进入国家“双一流”建设高校序列，2018年获批国防科工局与天津市共建高校，是我国最早开展纺织高等教育的学府之一，现已发展成为一所以工为主，工、理、文、管、经、法、艺、医协调发展的多科性综合大学。学校"
"天津理工大学","165万","1981","2391","2","理工类","公办","天津市西青区宾水西道391号","天津理工大学是一所以工为主，工理结合，工、理、管、文、艺等学科协调发展的多科性大学。学校前身为天津理工学院，于1979年以天津大学理工分校名义开始招收本科生，1981年经国务院批准正式设立。1996年，原天津理工学院与原天津大学分校、天津大学机电分校、天津大学冶金分校三所本科院校合并，组建成新的天津理工学院。经教育部批准，2004年更名为天津理工大学。"
"天津财经大学","90万","1958","1400","2","财经类","公办","天津市河西区珠江道25号","天津财经大学始建于1958年，是新中国最早建立的财经大学之一。以南开大学经济管理类专业为基础组建，并汇聚了一批华北、东北高校经济管理领域享有盛誉的专家学者。校园占地近1400亩，全日制在校生16000余人，是以经济学和管理学科为主干，兼有文学、法学、理学、工学、艺术学等多学科门类交叉渗透、协调发展的多科性大学，也是天津市属重点大学和我国北方培养高级"
"江南大学","230万","1902","3786","2","综合类","公办","江苏省无锡市蠡湖大道1800号","江南大学是教育部直属、国家“211工程”重点建设高校和“双一流”建设高校。学校具有悠久的办学历史、厚重的文化积淀，源起1902年创建的三江师范学堂，历经国立中央大学、南京大学等发展时期；1958年南京工学院食品工业系整建制东迁无锡独立建校，成立无锡轻工业学院；1962年无锡纺织工学院并入无锡轻工业学院；1995年更名为无锡轻工大学；2001年无锡轻工大学、江南学"
"天津商业大学","173万","1980","1340","2","财经类","公办","天津市北辰区光荣道409号","天津商业大学原名天津商学院，由国家商业部和天津市人民政府于1980年创建。1998年学校实行中央与地方共建、以地方管理为主的管理体制。2007年学校更名为天津商业大学。学校位于天津市北辰区光荣道409号，占地面积近1340亩，建筑面积近51万平方米，教学科研仪器设备总值5.71亿元。图书馆现有中外文藏书224万册，中外文数据库66个，电子图书418.85万册。学校在校生2.3万余人"
"天津外国语大学","120万","1964","696","2","语言类","公办","马场道校区：天津市河西区马场道117号,滨海校区：天津市滨海新区大港学府路60号","天津外国语大学（简称“天津外大”、“天外”）是一所主要外语语种齐全，文学、经济学、管理学、法学、教育学、艺术学、工学等多学科协调发展、特色鲜明的高等学校。学校全面落实党的教育方针，坚持立德树人根本任务，秉承“中外求索，德业竞进”的校训精神，为党育人、为国育才，着力培养高素质复合型国际化人才。历史沿革1964年，在周恩来总理关怀下，天津外"
"天津科技大学","254万","1958","2300","2","理工类","公办","河西校区：天津市河西区大沽南路1038号,滨海校区：天津市滨海新区经济技术开发区第十三大街9号","天津科技大学位于渤海之滨、海河之畔，是中央和地方共建、天津市重点建设高校，是以工为主，工、理、文、农、医、经、管、法、艺等学科协调发展的多科性大学，为天津市“双一流”建设高校、国务院批准的首批具有硕士学位授予权、第二批具有博士学位授予权、第一批可以接受外国留学生的高等院校，是天津滨海新区唯一一所本硕博教育体系完整的大学。建校60余载，"
"中国民航大学","0","1951","2969","2","理工类","公办","天津市东丽区津北公路2898号","中国民航大学隶属于中国民用航空局，是一所工、管、理、经、文、法、艺等学科协调发展的多科性大学，是民航局、天津市、教育部共建高校，是天津市“双一流”建设高校和高水平特色大学建设高校。学校坚持立德树人根本任务，落实价值塑造、能力培养、知识传授三位一体教育理念，着力培养高素质科技创新人才、专业技术人才和国际化人才。学校前身是1951年成立的中"
